Sample ID,Lineage,Calls Made,Possible Calls,Total support
ERR4853572,TPA.1.7,0,1,0.0
ERR4853572,TPA.1.1,0,1,0.0
SRR14277265,TEN.1.1,0,207,0.0
SRR14277265,TPE,3,721,0.42
SRR14277265,TPA.2.7,0,87,0.0
SRR14277265,TPE.3.1,0,31,0.0
SRR14277265,TPA.2,0,41,0.0
SRR14277265,TPA.1.6,0,34,0.0
SRR14277265,TPE.2.5,0,37,0.0
SRR14277265,TPE.1.3,0,88,0.0
SRR14277265,TPE.1.1,0,28,0.0
SRR14277265,TPA.2.5,0,36,0.0
SRR14277265,TPE.1.2,0,34,0.0
SRR14277265,TPE.2.3,0,115,0.0
SRR14277265,TPA.2.3,0,12,0.0
SRR14277265,TPA.2.6,0,29,0.0
SRR14277265,TPA.1.5,0,3,0.0
SRR14277265,TPE.3,0,52,0.0
SRR14277265,TPE.2.1,0,28,0.0
SRR14277265,TPA.2.4,0,9,0.0
SRR14277265,TPA.2.9,0,8,0.0
SRR14277265,TPA.1.4,0,7,0.0
SRR14277265,TPE.2.2,0,10,0.0
SRR14277265,TPE.2.4,0,21,0.0
SRR14277265,TPE.2,0,3,0.0
SRR14277265,TPA.1.3,0,2,0.0
SRR14277265,TPA.1.2,0,2,0.0
SRR14277265,TPA.2.2,0,11,0.0
SRR14277265,TPA.1.8,0,9,0.0
SRR14277265,TPA.2.1,0,13,0.0
SRR14277265,TPE.1,0,1,0.0
SRR14277265,TPA.1.7,0,1,0.0
SRR14277265,TPA.1.1,0,1,0.0
ERR5210582,TEN.1.1,0,207,0.0
ERR5210582,TPE,3,721,0.42
ERR5210582,TPA.2.7,0,87,0.0
ERR5210582,TPE.3.1,0,31,0.0
ERR5210582,TPA.2,0,41,0.0
ERR5210582,TPA.1.6,0,34,0.0
ERR5210582,TPE.2.5,0,37,0.0
ERR5210582,TPE.1.3,0,88,0.0
ERR5210582,TPE.1.1,0,28,0.0
ERR5210582,TPA.2.5,0,36,0.0
ERR5210582,TPE.1.2,0,34,0.0
ERR5210582,TPE.2.3,0,115,0.0
ERR5210582,TPA.2.3,0,12,0.0
ERR5210582,TPA.2.6,0,29,0.0
ERR5210582,TPA.1.5,0,3,0.0
ERR5210582,TPE.3,0,52,0.0
ERR5210582,TPE.2.1,0,28,0.0
ERR5210582,TPA.2.4,0,9,0.0
ERR5210582,TPA.2.9,0,8,0.0
ERR5210582,TPA.1.4,0,7,0.0
ERR5210582,TPE.2.2,0,10,0.0
ERR5210582,TPE.2.4,0,21,0.0
ERR5210582,TPE.2,0,3,0.0
ERR5210582,TPA.1.3,0,2,0.0
ERR5210582,TPA.1.2,0,2,0.0
ERR5210582,TPA.2.2,0,11,0.0
ERR5210582,TPA.1.8,0,9,0.0
ERR5210582,TPA.2.1,0,13,0.0
ERR5210582,TPE.1,0,1,0.0
ERR5210582,TPA.1.7,0,1,0.0
ERR5210582,TPA.1.1,0,1,0.0
SRR14277298,TEN.1.1,1,207,0.48
SRR14277298,TPE,3,721,0.42
SRR14277298,TPA.2.7,0,87,0.0
SRR14277298,TPE.3.1,0,31,0.0
SRR14277298,TPA.2,0,41,0.0
SRR14277298,TPA.1.6,0,34,0.0
SRR14277298,TPE.2.5,0,37,0.0
SRR14277298,TPE.1.3,0,88,0.0
SRR14277298,TPE.1.1,0,28,0.0
SRR14277298,TPA.2.5,0,36,0.0
SRR14277298,TPE.1.2,0,34,0.0
SRR14277298,TPE.2.3,1,115,0.87
SRR14277298,TPA.2.3,0,12,0.0
SRR14277298,TPA.2.6,0,29,0.0
SRR14277298,TPA.1.5,0,3,0.0
SRR14277298,TPE.3,0,52,0.0
SRR14277298,TPE.2.1,0,28,0.0
SRR14277298,TPA.2.4,0,9,0.0
SRR14277298,TPA.2.9,0,8,0.0
SRR14277298,TPA.1.4,0,7,0.0
SRR14277298,TPE.2.2,0,10,0.0
SRR14277298,TPE.2.4,0,21,0.0
SRR14277298,TPE.2,0,3,0.0
SRR14277298,TPA.1.3,0,2,0.0
SRR14277298,TPA.1.2,0,2,0.0
SRR14277298,TPA.2.2,0,11,0.0
SRR14277298,TPA.1.8,0,9,0.0
SRR14277298,TPA.2.1,0,13,0.0
SRR14277298,TPE.1,0,1,0.0
SRR14277298,TPA.1.7,0,1,0.0
SRR14277298,TPA.1.1,0,1,0.0
ERR4899218,TEN.1.1,2,207,0.97
ERR4899218,TPE,580,721,80.44
ERR4899218,TPA.2.7,0,87,0.0
ERR4899218,TPE.3.1,1,31,3.23
ERR4899218,TPA.2,0,41,0.0
ERR4899218,TPA.1.6,0,34,0.0
ERR4899218,TPE.2.5,26,37,70.27
ERR4899218,TPE.1.3,0,88,0.0
ERR4899218,TPE.1.1,0,28,0.0
ERR4899218,TPA.2.5,0,36,0.0
ERR4899218,TPE.1.2,0,34,0.0
ERR4899218,TPE.2.3,1,115,0.87
ERR4899218,TPA.2.3,0,12,0.0
ERR4899218,TPA.2.6,0,29,0.0
ERR4899218,TPA.1.5,0,3,0.0
ERR4899218,TPE.3,46,52,88.46
ERR4899218,TPE.2.1,0,28,0.0
ERR4899218,TPA.2.4,0,9,0.0
ERR4899218,TPA.2.9,0,8,0.0
ERR4899218,TPA.1.4,0,7,0.0
ERR4899218,TPE.2.2,0,10,0.0
ERR4899218,TPE.2.4,12,21,57.14
ERR4899218,TPE.2,1,3,33.33
ERR4899218,TPA.1.3,0,2,0.0
ERR4899218,TPA.1.2,0,2,0.0
ERR4899218,TPA.2.2,0,11,0.0
ERR4899218,TPA.1.8,0,9,0.0
ERR4899218,TPA.2.1,0,13,0.0
ERR4899218,TPE.1,0,1,0.0
ERR4899218,TPA.1.7,0,1,0.0
ERR4899218,TPA.1.1,0,1,0.0
